"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:aa1b8c24fc948c810830b4a696ac642f","Troukens W 2012. Een tropische verstekeling uit Mallorca: de palmmot Paysandisia archon (Lepidoptera: Castniidae). — Phegea 40(3): 62. (http://uahost.uantwerpen.be/vve/Phegea/2012/Phegea40-3_62.pdf)"
"ad-hoc-checklist:taxon:ab133a2343a31e79e8a81174d5ceb626","DELBOL, M. (2013). Catalogue des Curculionoidea de Belgique (Coleoptera: Polyphaga). Belgian journal of entomology, 13, 1-95."
"ad-hoc-checklist:taxon:ab1ea94e252dfb58d79c80aed1f63564","Steeman & Veraghtert 2011 Natuur.Focus"
"ad-hoc-checklist:taxon:abc99b6be7865b022d806b18a8abba3e","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:ac3478ecd489fd0de74152226d70a644","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:ad132753af1ed2414449e14c660fff25","Thomaes A. 2006 Anoplophora chinensis Förster voor het eerst gevonden in België (Coleoptera, Cerambycidae). Entomo-info"
"ad-hoc-checklist:taxon:ad80b014b2d64cb5f18f730c6ccef9a3","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:ae39687a6385624ea6a09fab43e922e4","Bosmans, R. & Vanuytven, H. 1998. Eperigone eschatologica een Amerikaanse immigrant in West-Europa (Araneae, Erigonidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 13(1):15-16."
"ad-hoc-checklist:taxon:af0726ffba96327979f2fc87e5eccff8","Merlin, J., M. Dolmans, D. Gérard, and M. Pasteels. 1992. Analyse des potentialités des coccinelles Exochomus quadripustulatus L. et Cryptolaemus montrouzieri Mulsant et tant qu'auxilliaires dans la lutte contre la cochenille Eupulvinaria hydrangea (Stenw.). Mém.Soc.R.belge Ent. 35:541-547."
"ad-hoc-checklist:taxon:b060f6a6a36215a11f393ab819255939","https://www.natuurpunt.be/nieuws/spaanse-ribbensalamanders-weggevangen-neeroeteren-20120710"
"ad-hoc-checklist:taxon:b1b90c7e5bd5b1d880774cc5e2f8fcac","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:b5bed41627b75e964411fd73a23ac6e9","Lock, K. (2009) Symphyla of Belgium. Entomologie faunistique – Faunistic Entomology 2010 (2009) 62 (1), 25-27"
"ad-hoc-checklist:taxon:b666241c6a63e3a1af1fbbb27526d10c","DEKONINCK W, HENDRICKX F, DETHIER M, & MAELFAIT J-P, 2010. Spontaneous afforestation endangers the special ant fauna of abandoned quarries along the river Meuse (Wallonia, Belgium). Restoration Ecology, 18(5): 681-690."
"ad-hoc-checklist:taxon:b6a151abc48ac5cef8699d59985f7e78","Thonissen_Jagen"
"ad-hoc-checklist:taxon:b73cb3072dc4a53f718d3c1b38fa5172","Dekoninck, W, Lock, K, and Janssens, F., 2007. Eur. J. Entomol. 104, 159-161; DEKONINCK W, DE BAERE C, MERTENS J & MAELFAIT J-P, 2002. On the arrival of the Asian invader ant Lasius neglectus in Belgium (Hymenoptera: Formicidae). Bulletin S.R.B.E./K.B.V.E., 138: 45-48."
"ad-hoc-checklist:taxon:b7aec4ca00d46f8a522617ab333fd753","Helen Roy & Alain Migeon / BioRisk 4(1): 293–313 (2010). doi: 10.3897/biorisk.4.49"
